,,BCQ,BCQ,CQL,CQL,IQL,IQL,BC,BC
154,7700,-69.85005633725,-36.0355743521265,-17.8186433768504,-38.5782756054933,-47.632809159843,-71.5071736668497,-69.0520840973813,-54.4053854018453
155,7750,-67.6833646716082,-23.5234697447619,-47.846144063238,-49.8895922932542,-60.0316805924185,-74.5345280414097,-70.4383444924015,-37.2055340340732
156,7800,-54.5016132038036,-41.1221633838945,-16.9378056824282,-49.0597969621209,-39.585941589113,-57.0937461731809,-66.5795224949391,-47.4912356290081
157,7850,-103.068139566122,-32.9591300033931,-31.3988320495058,-46.9634264191406,-63.1327092370562,-47.4847990341764,-65.1022660327838,-51.3537030205479
158,7900,-61.3463120854851,-37.2690834577937,-17.4011377641842,-38.0144041538785,-54.2096296891647,-69.4409996346502,-32.7382467920332,-30.0421510094793
159,7950,-66.5057338430401,-43.3019618417975,-17.3434390170392,-21.0161365717909,-51.3408367189486,-68.9152672478926,-63.414872755805,-49.1839777320694
160,8000,-73.9425002361247,-45.6241207761376,-18.7598631727842,-38.083937737004,-49.5407757035533,-65.6854495055178,-65.5535267386111,-51.8454127991458
161,8050,-72.1401333723902,-34.0805917580028,-18.6476590017433,-30.2920753390595,-54.7497347575798,-24.995111704391,-117.449433556194,-38.435177322438
162,8100,-61.6330345462371,-38.5786154666823,-15.5409870047703,-44.6962798830257,-63.3322525066807,-64.9586762526036,-22.7897755886837,-54.1938708695929
163,8150,-38.3280524600043,-25.539789639171,-17.6413017728179,-40.7513365415378,-39.8202332913316,-72.0446222625344,-121.179187493326,-24.1804315460202
164,8200,-32.7419050213619,-26.8317858431732,-35.8422521860728,-25.9636507397415,-63.4744548649977,-67.4311103725058,-89.6313396985038,-54.3433594975795
165,8250,-84.9927024213862,-69.2199870718946,-16.6577414593301,-36.9021684671711,-59.4691567701947,-71.9226361367961,-89.5459110233967,-51.0894422537578
166,8300,-69.3395864644525,-30.8416248292446,-18.3356155022929,-50.8826937020968,-60.8612108914079,-64.988345942877,-59.3328771245907,-52.8688485456605
